answer	qid
in a lair	fables-06-1
Mouse	fables-06-2
The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go.	fables-06-3
in a net which had been spread for game	fables-06-4
Lion	fables-06-5
because a mouse ran into the face of the lion	fables-06-6
A trapper	fables-06-7
The lion	fables-06-8
gnawing the rope of the net with the tooth of the mouse	fables-06-9
Louisiana was adversely affected by Hurricane Gustav.	blogs-03-1
morning	blogs-03-2
Winds started kicking up.	blogs-03-3
President Bush	blogs-03-4
in Louisiana	blogs-03-5
to a store named Home Depot in order to purchase a portable generator	blogs-03-6
The wife of the narrator stayed in the safe area of some home, a dog stayed in the area of the home, and the group of children of the narrator stayed in the area of the home.	blogs-03-7
because it owned a group of trees and near the house of the narrator	blogs-03-8
to the house of the parent of the narrator	blogs-03-9
An oven broke because the broiler of the oven activated.	blogs-06-1
An oven broke because the broiler of the oven activated.	blogs-06-2
The husband of the narrator	blogs-06-3
the door of the oven	blogs-06-4
we	blogs-06-5
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...	blogs-06-6
I ran and got a fire extinguisher.	blogs-06-7
Luckily the fire extinguisher worked but our stove was toast.	blogs-06-8
a plug-in burner griddle and counter	blogs-06-9
The Crow was hugely flattered by this, and just to show the Fox that she could sing she gave a loud caw.	fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-2
I	fables-01-3
A fox observed the crow and tried to discover how to get the cheese.	fables-01-4
under the tree	fables-01-5
There once was a crow.	fables-01-6
the fox	fables-01-7
Lion	fables-02-1
Lion	fables-02-2
The lion ate the bull, and the bull began to be defenseless.	fables-02-3
The bull was grazing in a meadow.	fables-02-4
A lion	fables-02-5
that the lion was friendly	fables-02-6
I	fables-02-7
Lion	fables-02-8
The lion planned to trick the bull because the lion wasn't able to fight the bull.	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
sharp every horn of the bull	fables-02-11
on eventful today	blogs-01-1
A summit meeting named G20 summit started on eventful today.	blogs-01-2
along the street	blogs-01-3
a police car	blogs-01-4
The people protested peacefully on a street.	blogs-01-5
The people rebelled and created riot.	blogs-01-6
A world and many leader came and talked about it running a government.	blogs-01-7
The people	blogs-01-8
Police cars were burned and things were thrown at cops.	blogs-01-9
along the street	blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-12
windows of stores	blogs-01-13
A Fox	fables-04-1
A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.	fables-04-2
in a flat and large dish	fables-04-3
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.	fables-04-4
A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
the long bill of the stork	fables-04-7
to reach the tempting contents of the vessel	fables-04-8
The narrator noticed that the ankle of the narrator was observed.	blogs-05-1
the group of students for presence	blogs-05-2
The narrator	blogs-05-3
The narrator noticed that the ankle of the narrator was observed.	blogs-05-4
The narrator	blogs-05-5
The narrator lifted the slip and inserted it into a bottom drawer of the desk.	blogs-05-6
I	blogs-05-7
Just thought I would share with you one of my most embarassing moments as a teacher to date.	blogs-05-8
Nervously I looked down to see that my underslip had somehow made its way to the floor.	blogs-05-9
Fox	fables-05-1
at night	fables-05-2
Farmer	fables-05-3
The agriculturist set a trap and caught the fox.	fables-05-4
in order	fables-05-5
The agriculturist	fables-05-6
The corn ignited and burned completely.	fables-05-7
The agriculturist	fables-05-8
A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-1
on my front when	blogs-02-2
I	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
in a group	blogs-02-5
"At first, my logical mind thought that it was my brother playing around with his new flashlight (not at all like it, but the closest thing I could imagine)
And when I went inside the house, everyone was snoring!"	blogs-02-6
I	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
I	blogs-02-10
The narrator began to wonder that the flash was an orb	blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.	blogs-02-12
The squirrel	blogs-04-1
The squirrel	blogs-04-2
The squirrel's paw slipped off the deck's railing.	blogs-04-3
themselves	blogs-04-4
Squirrels	blogs-04-5
I	blogs-04-6
I had a digital camera	blogs-04-7
Throughout the day, many birds drink out of it and bathe in it.	blogs-04-8
on the railing	blogs-04-9
Serpent	fables-03-1
An Eagle	fables-03-2
it	fables-03-3
Serpent	fables-03-4
In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-5
In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-6
The countryman decided to sip from the drinking vessel.	fables-03-7
The eagle	fables-03-8
The eagle spilled the drinking vessel.	fables-03-9
Heated with his exertions the man was to slake his thirst draught	fables-03-10
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-11
In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-12
in a beautiful pond	mc500.train.25.0
Will stopped singing and went outside.	mc500.train.111.0
Will stopped singing and went outside.	mc500.train.111.1
to Miami to visit some friends	mc500.train.0.1
a salad	mc500.train.0.2
Kristin	mc500.train.0.3
Alyssa got to the beach after a long trip.	mc500.train.0.4
Alyssa was happy to spend time with her friends again.	mc500.train.0.5
because they were tired	mc500.train.0.6
